"","Values0","Values1","Values2","Values3","Values4","Values5","Values6","Values7","Values8","Values9","Values10","Values11","Values12","Values13","Values14","Values15","Values16","Values17","Values18","Values19","Values20","Values21","Values22","Values23","Values24","ModelName"
device6-5.gif,219634,16688.6,9598.69,7508.08,31640.2,15978.2,21978.1,7332.27,10071.7,18876.4,10288.3,3057.86,1864.44,1138.34,5083.71,3476.47,764.73,1617.28,440.613,5403.09,1383.48,3211.47,288.531,320.405,2528.34,"device6"
jar-8.gif,161445,22010.7,4840.83,7927.95,36848.8,64574.6,24862.5,5707.87,14168.4,4715.95,5479.54,7551.48,4116.54,644.899,1168.3,2590.86,2000.5,3057.09,272.209,862.048,3955.02,905.673,1230.56,726.369,2681.83,"jar"
crown-9.gif,1201.13,639.904,232.784,338.595,22.784,514.336,277.943,71.6392,152.067,14.4096,15.4265,31.244,100.68,119.382,96.3082,90.7634,63.6989,53.359,102.328,129.912,42.1757,20.0678,2.07684,9.7261,41.2093,"crown"
pencil-4.gif,76065.4,41296.3,17680.1,31991.3,3753.62,4466.11,10263.6,10646.9,3012.46,4255.4,399.608,923.173,1463.07,2606.56,886.474,1142.24,1240.87,1439.31,1585.27,1745.53,426.462,865.296,191.571,604.839,222.129,"pencil"
watch-4.gif,57308.2,37925.9,1470.59,25393.6,19049.5,5807.77,9442.76,8125.36,4015.2,1885.99,7880.12,3742.69,205.842,251.562,1213.18,2138.09,2256.25,1385.87,651.138,846.207,1096.49,1880.2,1467.73,367.899,336.6,"watch"
device8-2.gif,227562,24897.4,12717.3,30602.2,43212.3,64973.9,10838.3,10955.6,14980,7219.63,11106.8,1556.67,1390.31,12341.6,9013.64,5661.91,8967.99,3969.15,3771.11,4386.08,629.586,3549.23,2363.11,1726.95,852.944,"device8"
device0-9.gif,203909,40803.1,1200.92,13002.5,16362.1,11026.6,3852.97,5701.57,9643.35,15637.8,418.182,375.008,3356.27,3410.75,480.243,383.638,485.37,2191.28,786.216,1386.48,1939.08,2293.5,702.954,1972.14,1656.46,"device0"
carriage-03.gif,91820.1,9495.63,12243.2,5447.13,635.869,2560.76,2495.27,2804.32,1022.51,669.15,2009.45,93.3331,219.542,852.539,1791.04,864.766,141.093,430.945,55.341,447.166,419.737,680.185,792.817,334.777,614.007,"carriage"
frog-5.gif,17329.2,5085.83,1734.16,288.75,3795.82,3014.17,4806.86,167.624,2458.87,999.134,2605.42,2185.88,130.889,1279.03,1727.29,613.222,609.846,530.498,635.696,385.345,95.5454,124.288,151.534,568.316,230.335,"frog"
fish-5.gif,14880.1,10787.7,1744.52,5500.09,6601.68,4807.44,3281.44,636.953,699.256,45.0792,2163.87,2136.33,2078.23,2085.34,1754.98,698.972,925.234,1405.1,1981.95,2182.33,264.287,75.9033,216.276,18.4197,267.323,"fish"
