"","HuMoments1","HuMoments2","HuMoments3","HuMoments4","HuMoments5","HuMoments6","HuMoments7","BlackRate","WhiteRate","Fourier-0","Fourier-1","Fourier-2","Fourier-3","Fourier-4","Fourier-5","Fourier-6","Fourier-7","Fourier-8","Fourier-9","Fourier-10","Fourier-11","Fourier-12","Fourier-13","Fourier-14","Fourier-15","Fourier-16","Fourier-17","Fourier-18","Fourier-19","Fourier-20","Fourier-21","Fourier-22","Fourier-23","Fourier-24","className"
classic-4.gif,0.267232,0.0406052,0.00146231,0.000358021,2.17933e-07,5.20132e-05,-1.4998e-07,0.291848,0.708152,72306.1,49524.1,2469.47,28910,27946.2,10301.3,4312.23,11015.3,6196.38,1916.42,3635.83,6546.47,6542.49,3193.89,1809.16,3203.26,1946.43,4481.84,6444.68,4007.62,3422.45,6711.34,5707.29,2276.44,74.8929,"classic"
rat-09.gif,0.216928,0.00227604,5.49182e-06,1.88721e-05,9.07113e-11,3.53503e-07,-1.38122e-10,0.129518,0.870482,13130,11045.9,6675.91,3184.9,1364.2,4727.99,5220.84,3114.74,418.233,3133.17,2280.21,1462.91,928.475,1131.23,1730.51,833.147,574.123,397.388,557.874,749.48,46.83,533.296,771.285,901.324,1044.69,"rat"
ray-1.gif,0.187772,0.00180294,0.000874068,0.000273451,1.27391e-07,1.15408e-05,1.17053e-07,0.484693,0.515307,67460.2,514.376,1406.57,13862.9,959.698,12070.2,22736.4,21037.7,3516.07,11804,3188.34,1049.46,1122.49,8018.3,4976.91,1246.56,181.799,2698.66,3278.29,1733.79,4.45235,280.043,269.03,1764.29,2839.83,"ray"
HCircle-9.gif,0.212069,0.0157835,0.00069086,5.08656e-05,3.74628e-09,1.26881e-06,-2.37206e-09,0.268343,0.731657,16432.1,4023.22,10361,2027.44,4631.55,1128.13,720.384,3872.27,2984.27,3331.76,148.336,993.261,34.635,2524.32,1151.69,409.556,61.7986,155.341,108.573,768.3,606.314,432.32,439.93,82.7154,957.604,"HCircle"
camel-1.gif,0.216174,0.0101755,0.000478809,1.09694e-05,-5.42269e-10,-9.56146e-07,-6.32634e-10,0.682022,0.317978,94668.5,2373.1,5726.03,2700.69,13756.4,31855.8,9407.44,323.586,2523.39,2623.94,1706,1706.98,517.052,2891.76,4903.95,747.76,1086.77,3285.82,938.967,609.243,152.145,243.617,785.265,1842.38,749.353,"camel"
device7-8.gif,0.27762,1.24911e-06,4.21414e-09,5.97083e-08,2.55023e-16,-2.98015e-11,-7.38398e-16,0.748169,0.251831,196128,1049.32,88.2548,648.032,37077.7,48286.4,310.363,102.154,1009.58,19078.3,12803.7,762.386,41.7825,1979.5,2144.2,5534.41,349.589,71.0684,1185.11,2069.81,4273.08,280.111,27.6242,1091.94,379.812,"device7"
children-9.gif,0.326096,0.0782645,0.000374575,0.000247671,7.541e-08,6.90681e-05,4.61121e-08,0.922929,0.0770715,77970.6,13106.1,23079.4,6863.88,2425.87,2961.48,1783.27,2643.66,2819.93,1138.83,439.864,152.662,1096.9,480.779,1180.09,1061.68,112.181,138.013,187.22,652.276,434.301,50.1934,105.189,30.2529,613.382,"children"
chicken-6.gif,0.2136,0.00427781,0.00397771,0.000152165,-1.08437e-07,-9.92525e-06,-7.79709e-08,0.67287,0.32713,11173.5,534.788,292.818,977.124,1634.87,3697.41,1096.92,1069.93,88.8385,337.013,498.321,287.775,95.3193,542.91,399.924,66.683,355.91,36.721,238.36,54.6066,209.464,45.4966,22.4087,27.1258,96.0922,"chicken"
sea_snake-3.gif,0.477809,0.105159,0.0191177,0.00273952,6.43929e-07,0.000352976,-4.08849e-07,0.825199,0.174801,122344,7939.97,11904.8,4767.83,12834.3,10307.5,2912.48,12439.3,16940.4,6675.27,6597.71,1326.01,3230.75,5747.92,1345.46,5917.58,659.988,76.999,1656.27,258.04,1397.56,519.514,1089.83,1193.1,651.721,"sea_snake"
device1-4.gif,0.175798,7.21148e-07,2.13221e-05,1.61511e-09,2.73974e-16,4.93244e-13,4.23967e-17,0.52372,0.47628,137290,1107.83,76.0505,5536.28,37002,76912.5,2302.29,329.61,542.035,20046.2,12016.4,624.105,542.478,1976.12,259.337,4528.45,1135.69,1212.51,2316.12,1181.91,2928.61,1144.66,515.688,1445.82,921.269,"device1"
butterfly-6.gif,0.206618,0.00606871,0.00169295,0.000152564,-7.74946e-08,-1.1882e-05,6.17551e-08,0.756765,0.243235,167526,20106.3,14357.6,1066.85,21334.9,7666.29,27380.1,7048.98,12829.4,4047.72,4842.41,3630.96,52.0295,676.469,1265.31,3442.84,2510.09,486.485,2782.2,3388.19,214.169,380.424,40.1856,778.894,539.546,"butterfly"
personal_car-4.gif,0.284013,0.0531261,0.000450378,5.00422e-05,-3.20539e-09,-6.719e-06,-7.45556e-09,0.734569,0.265431,61410.5,13497.8,18411.5,4251.52,239.324,1893.4,10033.7,6209.68,2371.91,3484.53,1307.62,1943.76,619.865,1914.24,612.258,1800.56,1310.1,18.1205,469.035,2470.52,905.22,175.882,887.417,758.542,545.035,"personal_car"
cup-8.gif,0.19299,0.00677594,0.000357205,1.24716e-05,-6.07519e-10,5.31998e-07,6.02689e-10,0.598011,0.401989,67061.4,5221.64,3109.23,1849.66,16597.5,24411.3,3190.09,348.812,3920.8,4934.42,1657.58,4948.08,3152.03,2814.6,236.034,681.672,688.59,1410.01,3599.12,167.443,1010.97,6.49473,275.72,1084.84,53.6705,"cup"
jar-7.gif,0.183381,0.00757675,0.000111603,6.89237e-06,1.90091e-10,5.96249e-07,-4.07565e-11,0.819752,0.180248,214894,51290.1,3006.02,19881.1,8040.27,17253.4,1123.71,67.8979,8293.95,7253.17,994.29,4319.92,1695.73,4228.37,1307.78,1211.49,2452.02,595.74,1409.98,1404.13,319.113,751.645,230.965,1027.28,662.241,"jar"
fork-6.gif,54.2624,1894.95,58340.7,14773.5,4.33641e+08,643095,-8.92007e+07,0.920833,0,282881,21565.2,69373.5,3977.38,22583.5,23800.2,10309.9,21459.2,965.066,3778.93,3317.62,2310.83,4238.91,1343.09,1209.42,166.678,2061.58,11.3861,284.413,1042.76,571.94,3998.44,603.756,1540.61,789.395,"fork"
