"","HuMoments1","HuMoments2","HuMoments3","HuMoments4","HuMoments5","HuMoments6","HuMoments7","BlackRate","WhiteRate","Fourier-0","Fourier-1","Fourier-2","Fourier-3","Fourier-4","Fourier-5","Fourier-6","Fourier-7","Fourier-8","Fourier-9","Fourier-10","Fourier-11","Fourier-12","Fourier-13","Fourier-14","Fourier-15","Fourier-16","Fourier-17","Fourier-18","Fourier-19","Fourier-20","Fourier-21","Fourier-22","Fourier-23","Fourier-24","ID-0","ID-1","ID-2","ID-3","ID-4","ID-5","ID-6","ID-7","ID-8","ID-9","ID-10","SD-0","SD-1","SD-2","SD-3","SD-4","SD-5","SD-6","SD-7","SD-8","className"
classic-4.gif,0.267232,0.0406052,0.00146231,0.000358021,2.17933e-07,5.20132e-05,-1.4998e-07,0.291848,0.708152,72306.1,49524.1,2469.47,28910,27946.2,10301.3,4312.23,11015.3,6196.38,1916.42,3635.83,6546.47,6542.49,3193.89,1809.16,3203.26,1946.43,4481.84,6444.68,4007.62,3422.45,6711.34,5707.29,2276.44,74.8929,2739,489,235,557,374,222,362999,420617,478235,535852,651088,10225.7,1136.19,409.028,208.688,126.243,78.1194,41.2251,24.1265,8.84575,"classic"
rat-09.gif,0.216928,0.00227604,5.49182e-06,1.88721e-05,9.07113e-11,3.53503e-07,-1.38122e-10,0.129518,0.870482,13130,11045.9,6675.91,3184.9,1364.2,4727.99,5220.84,3114.74,418.233,3133.17,2280.21,1462.91,928.475,1131.23,1730.51,833.147,574.123,397.388,557.874,749.48,46.83,533.296,771.285,901.324,1044.69,2156,128,143,34,198,221,25934,31477.6,37021.2,42564.8,53652,0,25.1108,24.7951,15.1543,10.8415,6.93735,5.73113,4.31906,4.46856,"rat"
ray-1.gif,0.187772,0.00180294,0.000874068,0.000273451,1.27391e-07,1.15408e-05,1.17053e-07,0.484693,0.515307,67460.2,514.376,1406.57,13862.9,959.698,12070.2,22736.4,21037.7,3516.07,11804,3188.34,1049.46,1122.49,8018.3,4976.91,1246.56,181.799,2698.66,3278.29,1733.79,4.45235,280.043,269.03,1764.29,2839.83,3514,473,26406,-2147483648,68,26406,14,69357.2,138700,208044,346730,6400.55,711.173,256.022,130.624,61.7269,20.1478,4.5112,3.66421,0,"ray"
HCircle-9.gif,0.212069,0.0157835,0.00069086,5.08656e-05,3.74628e-09,1.26881e-06,-2.37206e-09,0.268343,0.731657,16432.1,4023.22,10361,2027.44,4631.55,1128.13,720.384,3872.27,2984.27,3331.76,148.336,993.261,34.635,2524.32,1151.69,409.556,61.7986,155.341,108.573,768.3,606.314,432.32,439.93,82.7154,957.604,3187,10,355,299,177,346,1640,9698.4,17756.8,25815.2,41932,2254.38,250.487,90.1754,43.3015,3.58733,0,0,0,0,"HCircle"
camel-1.gif,0.216174,0.0101755,0.000478809,1.09694e-05,-5.42269e-10,-9.56146e-07,-6.32634e-10,0.682022,0.317978,94668.5,2373.1,5726.03,2700.69,13756.4,31855.8,9407.44,323.586,2523.39,2623.94,1706,1706.98,517.052,2891.76,4903.95,747.76,1086.77,3285.82,938.967,609.243,152.145,243.617,785.265,1842.38,749.353,2362,319,123,351,64,145,68361,80440,92519,104598,128756,4526.63,502.959,181.065,78.5774,41.9133,18.7051,13.3663,4.67595,0,"camel"
device7-8.gif,0.27762,1.24911e-06,4.21414e-09,5.97083e-08,2.55023e-16,-2.98015e-11,-7.38398e-16,0.748169,0.251831,196128,1049.32,88.2548,648.032,37077.7,48286.4,310.363,102.154,1009.58,19078.3,12803.7,762.386,41.7825,1979.5,2144.2,5534.41,349.589,71.0684,1185.11,2069.81,4273.08,280.111,27.6242,1091.94,379.812,2520,246,532,188,457,536,293200,341076,388952,436828,532580,19235,2120.53,634.155,227.625,28.9622,0.689962,0,0,0,"device7"
children-9.gif,0.326096,0.0782645,0.000374575,0.000247671,7.541e-08,6.90681e-05,4.61121e-08,0.922929,0.0770715,77970.6,13106.1,23079.4,6863.88,2425.87,2961.48,1783.27,2643.66,2819.93,1138.83,439.864,152.662,1096.9,480.779,1180.09,1061.68,112.181,138.013,187.22,652.276,434.301,50.1934,105.189,30.2529,613.382,259,75,102,83,93,167,9610,11207.6,12805.2,14402.8,17598,688.754,76.5282,25.8283,4.61219,0,0,0,0,0,"children"
chicken-6.gif,0.2136,0.00427781,0.00397771,0.000152165,-1.08437e-07,-9.92525e-06,-7.79709e-08,0.67287,0.32713,11173.5,534.788,292.818,977.124,1634.87,3697.41,1096.92,1069.93,88.8385,337.013,498.321,287.775,95.3193,542.91,399.924,66.683,355.91,36.721,238.36,54.6066,209.464,45.4966,22.4087,27.1258,96.0922,2123,127,55,85,38,67,8868,10091.6,11315.2,12538.8,14986,76.1503,7.16847,2.51719,1.403,0.652866,0.20104,0.0750989,0.0540573,0,"chicken"
sea_snake-3.gif,0.477809,0.105159,0.0191177,0.00273952,6.43929e-07,0.000352976,-4.08849e-07,0.825199,0.174801,122344,7939.97,11904.8,4767.83,12834.3,10307.5,2912.48,12439.3,16940.4,6675.27,6597.71,1326.01,3230.75,5747.92,1345.46,5917.58,659.988,76.999,1656.27,258.04,1397.56,519.514,1089.83,1193.1,651.721,2315,301,179,387,16,61,61705,74802.8,87900.6,100998,127194,2894.38,375.109,85.5564,68.8976,28.7963,28.1348,10.0859,6.50539,0,"sea_snake"
device1-4.gif,0.175798,7.21148e-07,2.13221e-05,1.61511e-09,2.73974e-16,4.93244e-13,4.23967e-17,0.52372,0.47628,137290,1107.83,76.0505,5536.28,37002,76912.5,2302.29,329.61,542.035,20046.2,12016.4,624.105,542.478,1976.12,259.337,4528.45,1135.69,1212.51,2316.12,1181.91,2928.61,1144.66,515.688,1445.82,921.269,2512,380,478,549,135,162,143650,179032,214414,249796,320560,19235,2137.22,769.401,392.552,237.469,122.675,6.12555,0,0,"device1"
