" ","HuMoments1","HuMoments2","HuMoments3","HuMoments4","HuMoments5","HuMoments6","HuMoments7","BlackRate","WhiteRate","className"
classic-4.gif,0.267232,0.0406052,0.00146231,0.000358021,2.17933e-07,5.20132e-05,-1.4998e-07,0.291848,0.708152,"classic"
rat-09.gif,0.216928,0.00227604,5.49182e-06,1.88721e-05,9.07113e-11,3.53503e-07,-1.38122e-10,0.129518,0.870482,"rat"
ray-1.gif,0.187772,0.00180294,0.000874068,0.000273451,1.27391e-07,1.15408e-05,1.17053e-07,0.484693,0.515307,"ray"
HCircle-9.gif,0.212069,0.0157835,0.00069086,5.08656e-05,3.74628e-09,1.26881e-06,-2.37206e-09,0.268343,0.731657,"HCircle"
camel-1.gif,0.216174,0.0101755,0.000478809,1.09694e-05,-5.42269e-10,-9.56146e-07,-6.32634e-10,0.682022,0.317978,"camel"
device7-8.gif,0.27762,1.24911e-06,4.21414e-09,5.97083e-08,2.55023e-16,-2.98015e-11,-7.38398e-16,0.748169,0.251831,"device7"
children-9.gif,0.326096,0.0782645,0.000374575,0.000247671,7.541e-08,6.90681e-05,4.61121e-08,0.922929,0.0770715,"children"
chicken-6.gif,0.2136,0.00427781,0.00397771,0.000152165,-1.08437e-07,-9.92525e-06,-7.79709e-08,0.67287,0.32713,"chicken"
sea_snake-3.gif,0.477809,0.105159,0.0191177,0.00273952,6.43929e-07,0.000352976,-4.08849e-07,0.825199,0.174801,"sea_snake"
device1-4.gif,0.175798,7.21148e-07,2.13221e-05,1.61511e-09,2.73974e-16,4.93244e-13,4.23967e-17,0.52372,0.47628,"device1"
butterfly-6.gif,0.206618,0.00606871,0.00169295,0.000152564,-7.74946e-08,-1.1882e-05,6.17551e-08,0.756765,0.243235,"butterfly"
personal_car-4.gif,0.284013,0.0531261,0.000450378,5.00422e-05,-3.20539e-09,-6.719e-06,-7.45556e-09,0.734569,0.265431,"personal_car"
cup-8.gif,0.19299,0.00677594,0.000357205,1.24716e-05,-6.07519e-10,5.31998e-07,6.02689e-10,0.598011,0.401989,"cup"
jar-7.gif,0.183381,0.00757675,0.000111603,6.89237e-06,1.90091e-10,5.96249e-07,-4.07565e-11,0.819752,0.180248,"jar"
fork-6.gif,54.2624,1894.95,58340.7,14773.5,4.33641e+08,643095,-8.92007e+07,0.920833,0,"fork"
shoe-10.gif,0.257088,0.0385832,0.000579653,0.000129609,3.0387e-08,1.86534e-05,-3.42076e-08,0.584823,0.415177,"shoe"
cellular_phone-9.gif,0.272859,0.0458974,0.000275424,7.51428e-05,9.16106e-09,6.31015e-06,5.4794e-11,0.490468,0.509532,"cellular_phone"
camel-7.gif,0.214178,0.00241527,0.00104104,5.07424e-05,-2.28979e-09,-3.34001e-07,7.51839e-09,0.699832,0.300168,"camel"
butterfly-10.gif,0.282697,0.0207643,0.00497064,0.00117673,2.11833e-06,3.1311e-05,2.00752e-06,0.594486,0.405514,"butterfly"
spring-5.gif,51.9586,1741.37,3628.42,411.719,76490.7,3229.93,-103139,0.750476,0,"spring"
Bone-10.gif,0.859995,0.64549,0.0672202,0.0507535,0.00296444,0.0407696,0.00142613,0.800482,0.199518,"Bone"
chicken-9.gif,0.237355,0.010116,0.00624119,0.000368971,9.18975e-08,1.36974e-05,-1.86674e-07,0.567805,0.432195,"chicken"
camel-9.gif,0.193532,0.00141708,0.00064434,3.53681e-05,-4.36268e-09,-1.32016e-06,-2.43767e-09,0.646256,0.353744,"camel"
device5-4.gif,0.250362,0.000142193,5.15321e-05,7.24212e-07,4.16553e-12,6.99192e-09,3.6401e-12,0.828252,0.171748,"device5"
bird-1.gif,24.4375,105.591,6682.88,269.571,342305,466.597,-152921,0.609019,0,"bird"
lizzard-4.gif,0.305972,0.0289826,0.000205665,0.000709338,-1.98186e-07,-4.10759e-05,-2.61663e-07,0.627612,0.372388,"lizzard"
device9-6.gif,0.182741,9.03336e-06,5.79949e-07,3.36122e-07,5.32229e-14,-1.89827e-10,6.39422e-14,0.637601,0.362399,"device9"
bell-2.gif,0.183452,0.00266161,0.00167554,1.04581e-05,1.20554e-09,4.90713e-07,3.51953e-10,0.412606,0.587394,"bell"
device2-8.gif,0.170697,1.42749e-07,8.31506e-08,3.45081e-08,-1.57947e-15,1.29945e-11,1.1906e-15,0.548054,0.451946,"device2"
deer-9.gif,0.310671,0.0332678,0.000689145,0.00010839,1.91378e-08,-1.64631e-05,2.54018e-08,0.723972,0.276028,"deer"
device2-4.gif,0.311434,2.82154e-07,5.1268e-06,1.03669e-06,2.02692e-12,-5.0556e-10,-2.31879e-12,0.827286,0.172714,"device2"
octopus-2.gif,0.170673,0.000151436,0.000111855,2.09679e-05,-3.68237e-10,2.24867e-07,1.55011e-10,0.582001,0.417999,"octopus"
device6-3.gif,0.181778,2.55333e-05,1.04931e-06,3.54183e-07,-1.84022e-13,1.59326e-09,1.77389e-13,0.735515,0.264485,"device6"
watch-10.gif,0.528273,0.249403,0.00102419,0.000719811,6.16996e-07,0.000337955,4.40119e-07,0.849698,0.150302,"watch"
lizzard-8.gif,0.384639,0.0696407,0.000839498,0.00141125,1.06259e-06,4.70677e-05,1.08191e-06,0.773032,0.226968,"lizzard"
crown-7.gif,0.250186,0.0171164,0.00088461,0.000227832,-9.02411e-08,-2.68146e-05,8.42218e-08,0.547964,0.452036,"crown"
apple-1.gif,0.161964,4.35994e-06,4.6057e-05,2.70515e-06,3.01204e-11,5.0011e-09,-2.28085e-11,0.568497,0.431503,"apple"
bird-10.gif,0.273075,0.0192381,0.01345,0.000963201,-3.21681e-06,-0.000127446,6.74745e-07,0.808802,0.191198,"bird"
brick-08.gif,0.301522,0.0610201,0.000223956,7.22762e-05,9.14883e-09,1.77895e-05,3.31798e-09,0.892766,0.107234,"brick"
pocket-6.gif,0.253437,0.00750147,0.00298639,0.000496714,6.00624e-07,4.28561e-05,-1.41546e-07,0.502793,0.497207,"pocket"
Bone-3.gif,0.944279,0.794079,0.02507,0.0167259,0.000342482,0.0148971,0.000149542,0.818023,0.181977,"Bone"
carriage-01.gif,0.378849,0.093266,0.00205043,0.00153828,2.73185e-06,0.000468723,8.3941e-07,0.901219,0.0987808,"carriage"
children-1.gif,0.330605,0.0811236,0.000443869,0.000309951,1.14964e-07,8.81222e-05,3.15277e-08,0.924148,0.0758523,"children"
classic-8.gif,0.298647,0.0583992,0.00243422,0.000788136,1.0243e-06,0.000153409,-1.03299e-06,0.518555,0.481445,"classic"
turtle-1.gif,0.218796,0.0172989,0.00028747,0.000119475,1.83289e-08,1.14378e-05,1.80344e-08,0.720202,0.279798,"turtle"
lmfish-2.gif,0.317079,0.0693098,0.000340291,3.39051e-05,-1.48257e-09,-6.75225e-06,3.12637e-09,0.777259,0.222741,"lmfish"
spoon-8.gif,0.79267,0.577184,0.0874971,0.0761262,0.00621151,0.0573987,0.00127512,0.906067,0.0939331,"spoon"
device8-10.gif,0.382627,0.011472,0.066385,0.000403463,-2.08562e-06,-4.26354e-05,-2.81078e-08,0.84987,0.15013,"device8"
butterfly-5.gif,0.206647,0.00606964,0.0016958,0.000152957,-7.78635e-08,-1.19139e-05,-7.18773e-08,0.512953,0.487047,"butterfly"
