" ","HuMoments1","HuMoments2","HuMoments3","HuMoments4","HuMoments5","HuMoments6","HuMoments7","ModelName"
device6-5.gif,0.177101,0.000132289,8.02942e-06,2.07108e-06,8.32745e-12,2.14571e-08,-2.60761e-13,"device6"
jar-8.gif,0.164337,0.000293575,5.4071e-05,3.28302e-06,3.32507e-11,5.61514e-08,-2.91127e-11,"jar"
crown-9.gif,0.206069,0.0110422,0.000364377,3.24621e-05,-2.78277e-09,-2.95816e-06,2.38788e-09,"crown"
pencil-4.gif,0.7049,0.466217,0.0356147,0.030167,0.000988792,0.0205763,-0.000253123,"pencil"
watch-4.gif,0.537575,0.258516,0.0004858,0.000374085,1.5945e-07,0.000187285,-5.92539e-08,"watch"
device8-2.gif,0.269149,0.000609684,0.0165956,0.000226249,2.1832e-07,5.58613e-06,-4.37542e-07,"device8"
device0-9.gif,0.201539,1.05136e-09,2.87939e-10,1.94523e-10,4.6037e-20,6.30735e-15,-3.69546e-34,"device0"
carriage-03.gif,0.377553,0.0927681,0.00112004,0.00109887,1.21838e-06,0.00031304,1.21716e-06,"carriage"
frog-5.gif,0.213913,0.007859,0.00024041,3.49156e-05,-1.0354e-09,2.66606e-06,3.18902e-09,"frog"
fish-5.gif,0.341814,0.0865137,0.00311018,0.00198131,4.91715e-06,0.000582651,-1.10076e-06,"fish"
truck-04.gif,0.216199,0.0152399,0.00115277,6.85804e-05,3.82718e-09,-1.03075e-07,8.55353e-09,"truck"
children-3.gif,0.325816,0.0781173,0.000446951,0.000309969,1.15356e-07,8.65292e-05,6.15428e-08,"children"
device6-10.gif,0.18099,0.000313005,4.20733e-05,3.0784e-07,-2.65778e-13,2.68441e-09,-1.07139e-12,"device6"
Glas-10.gif,0.333874,0.0308244,0.0104229,0.00547481,4.10558e-05,0.00094574,6.22969e-06,"Glas"
lizzard-1.gif,0.373625,0.0158105,0.00140365,0.0029645,-5.43601e-06,-0.000366138,-3.25243e-07,"lizzard"
ray-2.gif,0.187762,0.00179767,0.00087425,0.000273155,1.27211e-07,1.15113e-05,2.44696e-09,"ray"
jar-3.gif,0.186202,0.00792008,6.84408e-06,1.99603e-06,7.37729e-12,1.5271e-07,-7.22229e-12,"jar"
teddy-06.gif,0.184036,0.00133744,0.00100347,3.08242e-06,1.11223e-10,1.0935e-07,1.31212e-10,"teddy"
device5-4.gif,0.250362,0.000142193,5.15321e-05,7.24212e-07,4.16553e-12,6.99192e-09,3.6401e-12,"device5"
