" ","Values0","Values1","Values2","Values3","Values4","Values5","Values6","Values7","Values8","Values9","Values10","Values11","Values12","Values13","Values14","Values15","Values16","Values17","Values18","Values19","Values20","Values21","Values22","Values23","Values24","ClassName"
device4-18.gif,237120,27132.2,15828.9,13921.7,36957.9,66219.3,15553.7,10345.4,6488.74,19099,16216.3,3057.32,3365.24,568.121,2552.76,4566.94,1674.96,1476.43,1330.32,1389.53,5598.43,2812.41,1061.86,334.924,4094.51,"device4"
chopper-16.gif,88233.7,2113.99,9186.56,1765.11,12234.3,6211.47,3304.95,4974.8,5783.4,1465.69,2792.55,139.632,51.5501,844.976,2451.96,1145.35,406.51,833.125,1086.92,234.478,1430.77,677.705,164.487,515.416,1040.7,"chopper"
Heart-18.gif,70346.2,842.18,11102.3,29311.1,2646.01,6737.03,18659.3,1895.92,3865.01,7444.92,7070.62,865.595,8595.79,2508.44,1756.38,1572.85,8691.73,1763.43,134.452,683.091,3389.52,968.544,1646,2444.4,46.0085,"Heart"
fork-14.gif,291687,16223.6,56189.3,4519.31,14590.2,14651.1,9010.01,14614,316.993,7754.68,2376.99,2239.53,5896.88,3934.83,4035.09,411.626,3461.55,2751.16,2301.03,924.717,1195.52,1930.94,1954.21,605.434,150.633,"fork"
device4-17.gif,277631,12181.8,10866.2,4903.44,34598.3,33767.6,8564.06,8500.2,23563.8,10497,2359.09,10310.1,5394.94,1563.7,3281.1,614.305,2138.15,1262.33,1907.01,845.971,4727.44,1077.61,982.681,1847.66,3482.32,"device4"
device2-11.gif,143803,1588.69,22.3455,527.041,27004.3,84476.7,2195.26,15.9516,1956.28,9529.05,12905.7,211.794,4.39369,2660.25,5248.57,5143.62,200.172,0.055904,1001.18,946.713,5520.59,938.621,62.8358,1082.56,2397.63,"device2"
butterfly-16.gif,91494.2,5029.93,18941.9,3223.84,6270.95,23237.2,7388.62,22062.5,7514.08,18469,5643.17,961.113,10309,6752.41,845.287,3044.11,6399.66,1698.44,1824.16,7721.72,1930.15,1552.94,878.758,1067.85,5605.11,"butterfly"
fish-16.gif,9531.09,6799.26,899.695,3500.83,3695.12,2352.54,1251.12,225.775,630.444,269.521,894.581,781.287,828.319,978.244,936.236,224.34,485.934,1012.63,1513.49,1655.39,116.594,403.938,490.843,315.822,12.3444,"fish"
brick-16.gif,90459.4,24892.9,5250.93,3965.54,8869.21,911.231,8343.69,1750.14,4329.08,1760.12,470.445,270.001,1447.22,1652.66,195.587,339.745,1078.42,47.9667,39.892,145.127,467.441,74.7861,413.217,67.2757,217.126,"brick"
device0-14.gif,203288,37954.2,1458.38,12234.6,18846.6,2935.34,8592.72,3988.88,10149.9,20471.8,4196.9,2403.84,2279.54,3590,2513.51,600.953,3240.67,201.64,258.268,256.07,580.482,1731.16,517.287,1253.69,997.967,"device0"
crown-18.gif,24901.2,14429,841.987,3463.32,1259.8,7073.01,4349.33,301.238,2722.87,1728.35,163.404,1889.93,2215.24,406.372,517.306,537.381,803.99,359.134,281.723,551.554,124.412,712.252,142.304,802.457,380.659,"crown"
tree-20.gif,55522.8,8471.53,3070.07,1507.03,7827.28,186.295,5830.32,1302.61,1432.75,1182.56,1466.02,477.747,486.843,122.164,494.544,214.874,936.466,182.355,51.33,159.336,886.132,7.53139,361.37,178.198,401.898,"tree"
fountain-13.gif,73325.1,885.586,22784.5,2126.49,4299.56,1016.85,7836.84,164.507,5043.85,477.615,675.498,269.798,1537.66,1850.12,22.134,917.884,456.504,259.215,58.4968,556.248,100.736,377.861,726.918,129.135,314.165,"fountain"
fork-11.gif,281052,31486.6,66562.5,6574.43,15267.4,29695.3,4863.3,2015.2,1553.68,4915,6282.3,9335.7,7973.8,3430.83,4097.57,2673.89,3059.31,38.0626,69.9028,2198.33,3392.13,277.905,1005.64,1223.34,2718.79,"fork"
teddy-20.gif,59693.6,4985.37,16160.7,1470.14,100.712,3934.89,72.5406,6643.66,2570.31,3605.14,1596.21,1436.43,776.386,1531.19,139.791,1314.64,376.889,49.9114,469.216,557.152,194.037,26.034,425.182,60.1219,780.379,"teddy"
beetle-20.gif,65801.3,15739.6,4866.48,3819.89,520.214,6597.15,22147.2,10816.2,2863.64,972.088,223.437,1546.41,2633.45,2587.05,4126.34,1370.45,1238.11,1796.13,1351.82,782.275,1443.09,2044.01,357.525,764.101,1334.74,"beetle"
face-16.gif,27673.2,3390.41,6624.36,444.875,1284.82,11903.4,2934.69,298.998,3975.91,2124.65,4152.85,2116.38,423.913,4290.25,4831.75,2576.23,348.878,536.446,2005.29,2040.34,1422.38,230.026,114.151,1768.84,1506.96,"face"
fountain-17.gif,72842.1,674.489,22282.2,2392.5,4148.19,280.113,8128.31,13.8894,4836.79,93.4093,827.354,505.05,1859.54,1773.37,159.607,885.285,526.563,198.104,116.314,717.836,130.008,424.265,625.182,289.289,318.657,"fountain"
bat-11.gif,533561,65347,11374,3694.5,64477.6,21607.8,46780.9,16031.7,9432.34,63645.8,10526.7,6467.62,8995.17,7344.92,12871.9,742.411,3386.39,11274.6,162.41,4726.13,4876.49,6192.32,5730.14,9777.75,2675.35,"bat"
ray-12.gif,349881,24189.3,3040.02,8460.71,57259.2,94072.8,9618.42,10173.5,3574.33,24983.5,11155.5,10502.1,718.287,7356.19,5434.89,14005.1,1499.82,1537.64,810.301,9348.52,5475.79,1433.87,978.82,970.211,3311.63,"ray"
device0-19.gif,183213,12421.7,43.8541,2374.63,20910.7,40895.1,20646.9,3081.14,16748.9,5804.44,877.641,12112.1,1620.97,679.138,1848.93,520.562,3080.28,701.641,4748.22,3448.64,2631.71,191.488,988.528,111.963,1385.42,"device0"
chopper-19.gif,87568.6,4912.34,8357,763.707,13266.7,8973.61,8049.05,842.157,4267.18,1918.93,2389.74,239.827,1691.3,107.247,1589.99,1326.75,1279.77,1052.51,248.91,1819.47,733.312,686.378,496.97,161.137,495.288,"chopper"
bat-13.gif,193936,4831.98,8916.31,9827.51,26133.7,36719.5,14512.2,11262.3,2421.37,21029.8,10558.2,574.782,6768.3,5308.83,2946.91,3318.5,2860.77,2105.16,37.0239,1603.46,1669.08,4293.97,3295.11,2156.65,225.228,"bat"
car-20.gif,87517.2,13995.6,5949.94,6208.15,6842.08,2096.75,8084.43,6075.16,197.489,1232.95,1117.73,1337.24,714.388,1822.75,1295.65,110.318,494.456,455.211,145.57,271.039,282.122,303.259,47.4984,371.321,158.185,"car"
butterfly-15.gif,110587,8463.01,10577.1,1722.84,20783.9,24573.7,11145.9,4062.61,8646.99,6582.99,1124.16,3019.31,120.209,514.764,1612.74,460.372,1712.89,860.732,1873.47,949.708,1666.4,556.086,599.1,261.44,1032.12,"butterfly"
