" ","Column","Row","BlackRate","WhiteRate","ModelName"
device6-5.gif,558,558,0.70539,0.29461,"device6"
jar-8.gif,512,512,0.615864,0.384136,"jar"
crown-9.gif,76,41,0.38543,0.61457,"crown"
pencil-4.gif,474,183,0.876911,0.123089,"pencil"
watch-4.gif,507,160,0.70646,0.29354,"watch"
device8-2.gif,558,558,0.730852,0.269148,"device8"
device0-9.gif,512,512,0.777847,0.222153,"device0"
carriage-03.gif,352,288,0.905727,0.0942728,"carriage"
frog-5.gif,198,175,0.500115,0.499885,"frog"
fish-5.gif,286,104,0.500269,0.499731,"fish"
truck-04.gif,352,288,0.967586,0.032414,"truck"
children-3.gif,352,240,0.923473,0.076527,"children"
device6-10.gif,558,558,0.814892,0.185108,"device6"
Glas-10.gif,322,358,0.551867,0.448133,"Glas"
lizzard-1.gif,376,308,0.629119,0.370881,"lizzard"
ray-2.gif,526,533,0.744181,0.255819,"ray"
jar-3.gif,512,512,0.734974,0.265026,"jar"
teddy-06.gif,360,243,0.686248,0.313752,"teddy"
device5-4.gif,558,558,0.828252,0.171748,"device5"
Bone-3.gif,357,439,0.818023,0.181977,"Bone"
hat-3.gif,275,256,0.38804,0.61196,"hat"
bat-5.gif,729,703,0.819106,0.180894,"bat"
car-02.gif,352,288,0.921905,0.0780954,"car"
hat-5.gif,50,48,0.525417,0.474583,"hat"
device7-2.gif,512,512,0.613792,0.386208,"device7"
elephant-7.gif,632,768,0.739534,0.260466,"elephant"
fish-4.gif,238,80,0.418382,0.581618,"fish"
deer-5.gif,693,703,0.684898,0.315102,"deer"
key-1.gif,464,276,0.778048,0.221952,"key"
flatfish-6.gif,420,184,0.392068,0.607932,"flatfish"
key-6.gif,394,216,0.730224,0.269776,"key"
lmfish-5.gif,1116,417,0.668566,0.331434,"lmfish"
fountain-09.gif,360,243,0.819799,0.180201,"fountain"
chopper-02.gif,352,288,0.871291,0.128709,"chopper"
rat-07.gif,352,288,0.868736,0.131264,"rat"
cup-8.gif,315,356,0.598011,0.401989,"cup"
frog-3.gif,220,182,0.43012,0.56988,"frog"
deer-9.gif,700,638,0.723972,0.276028,"deer"
fountain-06.gif,360,243,0.832339,0.167661,"fountain"
device3-2.gif,558,558,0.547061,0.452939,"device3"
deer-10.gif,500,551,0.715985,0.284015,"deer"
spring-5.gif,393,318,0.750476,0,"spring"
shoe-6.gif,437,262,0.558492,0.441508,"shoe"
classic-5.gif,744,333,0.291848,0.708152,"classic"
device6-8.gif,558,558,0.844793,0.155207,"device6"
cup-2.gif,380,392,0.555095,0.444905,"cup"
lmfish-8.gif,269,269,0.797902,0.202098,"lmfish"
pencil-8.gif,457,182,0.827614,0.172386,"pencil"
chicken-4.gif,284,292,0.578429,0.421571,"chicken"
chicken-2.gif,283,246,0.475954,0.524046,"chicken"
pencil-6.gif,471,180,0.782838,0.217162,"pencil"
device7-7.gif,512,512,0.743351,0.256649,"device7"
car-03.gif,352,288,0.918945,0.0810547,"car"
pencil-5.gif,457,199,0.880255,0.119745,"pencil"
Heart-1.gif,464,384,0.345473,0.654527,"Heart"
device9-3.gif,558,558,0.599504,0.400496,"device9"
horseshoe-10.gif,59,61,0.41456,0.58544,"horseshoe"
horse-2.gif,847,839,0.829116,0.170884,"horse"
bell-6.gif,112,149,0.432407,0.567593,"bell"
bat-2.gif,746,325,0.678132,0.321868,"bat"
bottle-07.gif,352,288,0.960375,0.0396248,"bottle"
car-05.gif,352,288,0.904317,0.0956834,"car"
Glas-6.gif,324,361,0.53908,0.46092,"Glas"
sea_snake-3.gif,353,420,0.825199,0.174801,"sea_snake"
rat-08.gif,352,288,0.867148,0.132852,"rat"
rat-09.gif,352,288,0.129518,0.870482,"rat"
lmfish-3.gif,161,452,0.679849,0.320151,"lmfish"
bat-3.gif,781,730,0.863124,0.136876,"bat"
jar-4.gif,512,512,0.819752,0.180248,"jar"
Glas-8.gif,324,361,0.458286,0.541714,"Glas"
device4-6.gif,558,558,0.804949,0.195051,"device4"
apple-7.gif,256,256,0.516205,0.483795,"apple"
spring-9.gif,582,353,0.87916,0,"spring"
brick-04.gif,352,288,0.889481,0.110519,"brick"
shoe-1.gif,551,307,0.609132,0.390868,"shoe"
Heart-8.gif,446,380,0.354207,0.645793,"Heart"
guitar-2.gif,312,192,0.651676,0.348324,"guitar"
lizzard-7.gif,514,376,0.76113,0.23887,"lizzard"
device0-7.gif,512,512,0.78503,0.21497,"device0"
tree-7.gif,256,256,0.881485,0.118515,"tree"
chopper-01.gif,352,288,0.852036,0.147964,"chopper"
device2-4.gif,512,512,0.827286,0.172714,"device2"
face-5.gif,269,337,0.572413,0.427587,"face"
pocket-2.gif,64,90,0.613889,0.386111,"pocket"
face-4.gif,269,337,0.560621,0.439379,"face"
cattle-6.gif,422,272,0.509897,0.490103,"cattle"
horseshoe-3.gif,166,178,0.671078,0.328922,"horseshoe"
guitar-7.gif,429,418,0.639141,0.360859,"guitar"
turtle-7.gif,434,277,0.592041,0.407959,"turtle"
device9-1.gif,558,558,0.604228,0.395772,"device9"
rat-05.gif,352,288,0.86915,0.13085,"rat"
face-8.gif,269,337,0.569987,0.430013,"face"
rat-01.gif,352,288,0.872938,0.127062,"rat"
truck-06.gif,352,288,0.963828,0.0361723,"truck"
device3-9.gif,558,558,0.663641,0.336359,"device3"
bell-2.gif,59,64,0.412606,0.587394,"bell"
spoon-9.gif,256,256,0.906067,0.0939331,"spoon"
frog-7.gif,325,341,0.483781,0.516219,"frog"
dog-3.gif,526,408,0.805776,0.194224,"dog"
brick-05.gif,352,288,0.841442,0.158558,"brick"
fountain-03.gif,360,243,0.835814,0.164186,"fountain"
apple-2.gif,256,256,0.473053,0.526947,"apple"
device9-6.gif,558,558,0.637601,0.362399,"device9"
dog-7.gif,526,408,0.786411,0.213589,"dog"
deer-8.gif,638,700,0.723972,0.276028,"deer"
lmfish-1.gif,640,480,0.702835,0,"lmfish"
hammer-6.gif,256,256,0.881134,0.118866,"hammer"
beetle-2.gif,273,303,0.59308,0.40692,"beetle"
truck-08.gif,352,288,0.963265,0.0367345,"truck"
pocket-6.gif,210,312,0.502793,0.497207,"pocket"
cellular_phone-3.gif,426,175,0.606439,0.393561,"cellular_phone"
tree-4.gif,256,256,0.789169,0.210831,"tree"
device4-2.gif,558,558,0.770115,0.229885,"device4"
fly-7.gif,274,258,0.716149,0.283851,"fly"
Misk-9.gif,331,403,0.30267,0.69733,"Misk"
device8-5.gif,558,558,0.758954,0.241046,"device8"
teddy-01.gif,360,243,0.682179,0.317821,"teddy"
hat-8.gif,250,148,0.326,0.674,"hat"
chicken-5.gif,408,408,0.789985,0.210015,"chicken"
device5-10.gif,558,558,0.700881,0.299119,"device5"
teddy-04.gif,360,243,0.677926,0.322074,"teddy"
personal_car-9.gif,400,227,0.570198,0.429802,"personal_car"
bell-1.gif,252,255,0.681061,0,"bell"
fish-1.gif,600,459,0.786423,0,"fish"
device6-6.gif,558,558,0.675325,0.324675,"device6"
Glas-3.gif,324,361,0.525204,0.474796,"Glas"
teddy-05.gif,360,243,0.677732,0.322268,"teddy"
butterfly-5.gif,334,331,0.512953,0.487047,"butterfly"
watch-5.gif,520,170,0.680271,0.319683,"watch"
car-07.gif,352,288,0.89824,0.10176,"car"
device5-8.gif,558,558,0.775591,0.224409,"device5"
beetle-5.gif,156,208,0.59338,0.40662,"beetle"
rat-04.gif,352,288,0.866527,0.133473,"rat"
car-10.gif,352,288,0.893446,0.106554,"car"
bird-2.gif,253,248,0.606177,0.393823,"bird"
carriage-07.gif,352,288,0.908854,0.0911458,"carriage"
butterfly-6.gif,471,470,0.756765,0.243235,"butterfly"
fly-4.gif,266,274,0.58685,0.41315,"fly"
flatfish-5.gif,420,188,0.397936,0.602064,"flatfish"
sea_snake-2.gif,241,270,0.868726,0.131274,"sea_snake"
turtle-5.gif,376,358,0.718115,0.281885,"turtle"
Misk-10.gif,336,403,0.318659,0.681341,"Misk"
apple-3.gif,256,256,0.450897,0.549103,"apple"
fountain-07.gif,360,243,0.818016,0.181984,"fountain"
bottle-03.gif,352,288,0.944859,0.0551413,"bottle"
chopper-05.gif,352,288,0.88078,0.11922,"chopper"
horse-7.gif,760,383,0.658245,0.341755,"horse"
personal_car-10.gif,400,219,0.588459,0.411541,"personal_car"
device6-2.gif,558,558,0.867852,0.132148,"device6"
hat-10.gif,199,87,0.276844,0.723156,"hat"
dog-10.gif,255,187,0.619105,0.380895,"dog"
device8-10.gif,558,558,0.84987,0.15013,"device8"
device9-2.gif,558,558,0.580915,0.419085,"device9"
hammer-8.gif,256,256,0.897247,0.102753,"hammer"
chicken-7.gif,123,135,0.67287,0.32713,"chicken"
device7-10.gif,512,512,0.61713,0.38287,"device7"
watch-7.gif,516,218,0.758063,0.241937,"watch"
cellular_phone-10.gif,471,194,0.466872,0.533128,"cellular_phone"
device7-8.gif,512,512,0.748169,0.251831,"device7"
bell-4.gif,70,87,0.409852,0.590148,"bell"
key-2.gif,400,259,0.746564,0.253436,"key"
spring-7.gif,231,454,0.844928,0,"spring"
bat-4.gif,612,403,0.624118,0.375882,"bat"
pocket-1.gif,147,205,0.541563,0.458437,"pocket"
device9-7.gif,558,558,0.61914,0.38086,"device9"
carriage-10.gif,352,288,0.910561,0.0894393,"carriage"
Bone-8.gif,357,439,0.811885,0.188115,"Bone"
device8-3.gif,558,558,0.71499,0.28501,"device8"
device6-7.gif,558,558,0.910597,0.0894034,"device6"
pocket-8.gif,140,212,0.471327,0.528673,"pocket"
beetle-6.gif,254,262,0.801737,0.198263,"beetle"
bat-6.gif,593,289,0.712692,0.287308,"bat"
fork-2.gif,640,480,0.93734,0,"fork"
ray-8.gif,639,642,0.757036,0.242964,"ray"
device3-6.gif,558,558,0.429012,0.570988,"device3"
bell-5.gif,189,222,0.390367,0.609633,"bell"
pencil-2.gif,487,186,0.889691,0.110309,"pencil"
deer-6.gif,545,569,0.690408,0.309592,"deer"
HCircle-10.gif,194,331,0.240524,0.759476,"HCircle"
children-5.gif,352,240,0.923426,0.0765743,"children"
spring-1.gif,393,318,0.750476,0,"spring"
hammer-5.gif,256,256,0.881134,0.118866,"hammer"
bottle-09.gif,352,288,0.96005,0.0399503,"bottle"
lmfish-9.gif,260,260,0.802574,0.197426,"lmfish"
face-2.gif,269,337,0.564659,0.435341,"face"
chopper-10.gif,352,288,0.885505,0.114495,"chopper"
spoon-10.gif,256,256,0.906067,0.0939331,"spoon"
hat-4.gif,79,64,0.350475,0.649525,"hat"
dog-8.gif,255,187,0.554011,0.445989,"dog"
Bone-10.gif,357,439,0.800482,0.199518,"Bone"
brick-03.gif,352,288,0.829417,0.170583,"brick"
cattle-10.gif,580,345,0.418711,0.581289,"cattle"
device5-9.gif,558,558,0.685025,0.314975,"device5"
carriage-06.gif,352,288,0.910571,0.0894295,"carriage"
Bone-6.gif,357,439,0.80856,0.19144,"Bone"
crown-8.gif,80,42,0.403274,0.596726,"crown"
cup-9.gif,332,346,0.605404,0.394596,"cup"
bottle-10.gif,352,288,0.940558,0.0594421,"bottle"
Comma-4.gif,276,386,0.4033,0.5967,"Comma"
fly-2.gif,184,265,0.642473,0.357527,"fly"
cattle-8.gif,432,273,0.472994,0.527006,"cattle"
key-10.gif,379,230,0.748228,0.251772,"key"
device4-5.gif,558,558,0.79304,0.20696,"device4"
flatfish-10.gif,420,214,0.402937,0.597063,"flatfish"
device8-1.gif,558,558,0.71533,0.28467,"device8"
flatfish-1.gif,613,492,0.673298,0.326702,"flatfish"
classic-10.gif,309,166,0.462042,0.537958,"classic"
cellular_phone-4.gif,469,204,0.53654,0.46346,"cellular_phone"
hat-6.gif,66,77,0.247737,0.752263,"hat"
butterfly-7.gif,281,182,0.530445,0.469555,"butterfly"
frog-9.gif,198,175,0.521558,0.478442,"frog"
ray-4.gif,228,309,0.598365,0.401635,"ray"
fly-10.gif,346,311,0.625328,0.374672,"fly"
bird-7.gif,290,305,0.620384,0.379616,"bird"
pocket-9.gif,83,104,0.49664,0.50336,"pocket"
watch-1.gif,500,202,0.738475,0.261525,"watch"
